ticker,fiscal_year,revenue,ebitda,ebit,net_income,total_assets,total_equity,total_debt,cash_and_equiv,current_assets,current_liabilities,capex,operating_cash_flow,shares_outstanding
INFT,2021,17354.7,3735.3,2888.9,1622.4,30804.4,25543.5,2657.7,2465.2,6145.6,6511.2,1416.5,2439.5,238.1714335383799
INFT,2022,19180.1,4166.0,3314.6,2170.9,33721.6,28255.0,2589.5,2484.6,7248.1,5116.2,1118.5,2974.6,238.1714335383799
INFT,2023,22100.1,4826.1,3991.9,2668.5,36265.6,29838.4,3112.2,1594.9,8022.6,8217.3,1951.0,3871.1,238.1714335383799
INFT,2024,24636.3,5199.1,4432.9,2828.3,38673.4,31803.7,3174.2,1342.0,13103.2,6440.1,1801.6,3524.6,238.1714335383799
INFT,2025,27877.6,6784.4,5276.4,3925.2,45083.6,36598.7,4303.3,4636.8,13090.8,10245.0,1238.5,4403.0,238.1714335383799
TCSY,2021,15179.6,3486.5,2761.8,1818.8,20954.7,16795.2,1882.5,906.1,8309.0,5215.1,758.0,2096.7,103.28254952547569
TCSY,2022,17526.5,4467.4,3839.1,2703.7,22104.5,17796.6,1678.9,1140.3,9159.7,5603.7,991.0,2751.4,103.28254952547569
TCSY,2023,19546.5,4445.1,3820.3,2588.3,25721.9,20739.1,2050.9,1281.2,9629.6,6679.5,1330.4,3523.8,103.28254952547569
TCSY,2024,22078.1,5334.9,4343.3,2410.9,27171.7,22066.9,1793.1,2930.5,9115.4,6653.7,1885.0,3533.4,103.28254952547569
TCSY,2025,24793.9,6406.7,5024.9,2841.1,29795.5,24001.5,2074.9,4236.3,12685.2,7967.4,2072.1,5131.3,103.28254952547569
WPRO,2021,40251.1,9132.8,7000.4,4169.3,70590.7,58013.7,6539.3,6516.5,14143.9,12144.5,2450.1,5986.8,139.44213805975616
WPRO,2022,44290.3,10111.8,9014.1,5540.4,78479.6,64827.0,7009.1,4308.2,24109.7,16564.2,2329.2,7324.1,139.44213805975616
WPRO,2023,49360.1,11081.8,8372.6,5625.7,85641.9,72304.6,5933.3,4256.0,26242.5,12751.2,2332.0,8005.1,139.44213805975616
WPRO,2024,57646.7,12764.6,10860.4,7627.5,95329.4,78153.6,8528.8,5638.5,27466.4,18525.6,3850.2,7946.9,139.44213805975616
WPRO,2025,66648.5,15135.6,11775.2,6572.4,107493.9,88064.7,9432.0,3476.1,30153.0,17078.0,4815.9,9741.2,139.44213805975616
HCLW,2021,17893.7,3796.5,3374.0,2447.7,23465.2,18782.7,1998.5,2795.7,8249.7,5453.0,932.1,2366.3,234.81519729681628
HCLW,2022,20774.3,5584.8,4718.9,2915.4,25934.1,20574.5,2243.4,3461.5,10956.7,7162.6,1497.9,3468.3,234.81519729681628
HCLW,2023,22926.6,6160.3,5180.6,2858.9,27644.2,21874.7,2330.5,1161.4,8761.7,7056.8,1710.2,4700.2,234.81519729681628
HCLW,2024,25414.0,6487.6,5096.6,3134.8,31562.6,25091.2,2659.3,4076.4,12237.4,7902.0,1135.6,4489.0,234.81519729681628
HCLW,2025,28252.4,6259.8,5608.5,3525.6,36572.4,29255.5,3079.0,4331.8,12728.5,8823.4,1825.8,4061.4,234.81519729681628
MPHX,2021,13210.1,3589.4,3205.6,2349.6,21148.9,17737.4,1430.0,2254.7,5754.8,4949.4,1164.9,2919.1,15.835831943548921
MPHX,2022,14715.7,3410.0,2992.9,1835.8,23167.2,19015.1,1944.7,2526.7,7199.0,4579.7,660.1,2570.3,15.835831943548921
MPHX,2023,17191.2,3680.4,3046.4,2210.1,26727.2,21797.0,2351.5,2429.5,7252.9,4589.6,1383.3,2953.6,15.835831943548921
MPHX,2024,19918.3,5373.0,4441.9,2888.6,30802.4,25148.9,2665.7,2813.6,10141.5,7218.4,1133.3,3728.3,15.835831943548921
MPHX,2025,21876.8,5373.7,4059.3,2610.6,34039.4,28180.5,2577.4,2774.2,7790.3,4943.6,1774.9,3708.1,15.835831943548921
HDBK,2021,23883.2,6273.7,4753.9,3119.8,64690.0,26967.5,34140.0,3448.5,13020.4,7227.2,1341.0,5011.4,194.7984527436666
HDBK,2022,26973.0,7943.8,6051.3,3358.9,78876.4,31690.7,43139.7,3789.1,11646.7,6682.0,1289.9,5263.2,194.7984527436666
HDBK,2023,31138.5,9942.9,8441.9,5115.7,90779.8,37209.1,48899.9,3801.0,14708.1,8941.0,1631.2,6850.6,194.7984527436666
HDBK,2024,36531.9,9362.9,7185.2,4018.0,98566.0,39266.6,53819.6,5168.4,16250.6,8608.9,2359.3,6726.0,194.7984527436666
HDBK,2025,40937.2,12037.4,9747.6,6561.8,94272.5,44471.9,43660.1,4040.5,19452.2,12301.7,3390.6,9204.7,194.7984527436666
ICIB,2021,3919.1,1331.0,1113.2,698.7,9433.0,4057.5,4787.6,473.9,2109.6,1104.3,345.1,1099.9,164.18062676951575
ICIB,2022,4399.7,1149.4,879.4,486.9,10520.9,4310.1,5550.8,260.7,1820.6,1562.7,181.1,923.7,164.18062676951575
ICIB,2023,4973.3,1321.1,1128.9,762.9,12350.2,5017.3,6586.9,768.1,2021.2,1235.3,385.6,1059.1,164.18062676951575
ICIB,2024,5938.8,1734.9,1398.0,986.0,14105.1,5490.5,7723.8,959.7,2588.1,2020.0,461.6,1085.7,164.18062676951575
ICIB,2025,7044.8,2116.8,1850.0,1135.9,14805.3,6404.2,7344.4,362.2,3741.3,1652.8,394.3,1772.8,164.18062676951575
BAJF,2021,26146.0,7440.6,6331.1,4434.7,83187.3,33888.4,45377.1,1617.3,11736.5,5992.9,1764.2,5285.7,161.64093092075183
BAJF,2022,30980.2,8878.4,6814.7,3943.0,92519.2,38937.6,48934.6,1956.3,11364.2,10290.2,1351.9,7151.2,161.64093092075183
BAJF,2023,36202.2,9496.6,7243.3,5413.1,96887.9,42779.0,48678.6,5635.4,19529.3,13675.8,2811.8,6591.3,161.64093092075183
BAJF,2024,40275.5,13087.3,10911.6,6927.2,106626.4,49958.4,50626.6,4593.1,14187.9,11880.7,1724.4,8241.1,161.64093092075183
BAJF,2025,44930.5,14082.5,12137.8,8092.0,132365.2,58705.3,66920.4,3915.4,23531.0,11492.1,3961.1,8492.3,161.64093092075183
KOTM,2021,2707.7,708.4,590.2,439.0,8376.0,3523.2,4446.7,380.3,1193.8,867.6,187.4,584.7,223.87434728753706
