ticker,price,market_cap,as_of_date
INFT,261.29,62231.4,2026-07-30
TCSY,595.53,61508.0,2026-07-30
WPRO,1995.09,278199.5,2026-07-30
HCLW,654.93,153788.6,2026-07-30
MPHX,3166.76,50148.3,2026-07-30
HDBK,696.62,135700.1,2026-07-30
ICIB,366.51,60174.2,2026-07-30
BAJF,2691.56,435066.6,2026-07-30
KOTM,174.14,38984.8,2026-07-30
SBIN2,1037.09,258435.1,2026-07-30
SUNP,243.99,39968.2,2026-07-30
CIPL,5264.43,162464.9,2026-07-30
DRRD,584.3,101411.4,2026-07-30
LUPN,3694.51,340263.1,2026-07-30
AURO,1107.49,103294.0,2026-07-30
HULV,314.18,52360.4,2026-07-30
ITCL,4917.62,62153.8,2026-07-30
NEST,1493.94,304128.2,2026-07-30
BRIT,2077.81,229107.6,2026-07-30
DABR,1098.37,238247.9,2026-07-30
MRTI,3534.04,325306.1,2026-07-30
TAMO,59.55,13009.6,2026-07-30
BAJA,1046.86,187967.9,2026-07-30
EIMO,1853.6,141686.6,2026-07-30
UVAM,572.64,22508.5,2026-07-30
